,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.0727079335510237,0.0685566359879778,0.951105990212275,0.00373013038130069,-0.00542210766568974,-0.0109705725235819,-0.0535118474238759,-0.0249643038050261,0.017872249288661
1,1,0.0726832292731898,0.0683509669580187,0.951198258288783,-0.00022117537321141,-0.0053185245499659,-0.0107006580525413,-0.0776494883922295,-0.0530712188339368,0.0478519563209305
2,2,0.0726559125478106,0.0681411437082697,0.951296018326028,-0.00293659087531048,-0.00522970759544411,-0.0103323643809005,-0.102320809882728,0.00863677688126338,0.0106121250567441
3,3,0.0726298875975463,0.0679334056196265,0.951391055447302,-0.00587411304109267,-0.00514504087333312,-0.00998105889697652,-0.0957984187064358,0.000874272849215014,0.0598085066273242
4,4,0.0726090613746544,0.0677339909947744,0.951475153430728,-0.00765446979042629,-0.00507533959433145,-0.00965736022093764,-0.0998522214839623,0.0141554087197097,0.0448199956371837
5,5,0.0725973431911893,0.0675491370380571,0.951540094632506,-0.00852372565889901,-0.00496684830453734,-0.00938735468911938,-0.112705651439387,0.0201605264577682,0.039735228486064
6,6,0.0725951508226052,0.0673774022328838,0.951582168700638,-0.008510961590036,-0.00499254142820364,-0.00916093789397609,-0.0706211783085491,0.000166700798650986,0.0294311261298502
7,7,0.0725998829023168,0.0672146255543644,0.951606851511529,-0.00783205637194508,-0.0054174300777295,-0.00897093786240828,-0.0973062157404279,0.0325025773315838,0.0594478685189708
8,8,0.0726109199075689,0.0670629647797922,0.951619702441832,-0.00636791564123322,-0.00518567122859191,-0.00883081657926837,-0.0676361600081305,0.0312034069719722,0.0384379826879819
9,9,0.0726276408695367,0.066924578797792,0.951626279983578,-0.00503675740676237,-0.00516254901559253,-0.00870523484855938,-0.0379021838102152,0.0416180740954205,0.0331941359461156
10,10,0.0726494239099766,0.0668016276767794,0.951632142710067,-0.0036731734947417,-0.00446753961021566,-0.00860556141834188,-0.0937550195336656,0.0787736967615355,0.0337837036360339
11,11,0.0726732486353322,0.0666958755773252,0.951636143128336,-0.00267486607664483,-0.00338322252488101,-0.00856641188052542,-0.0290154307670478,0.0606076221585736,6.14953520470203e-05
12,12,0.0726995304885991,0.0666058821659858,0.951634573542341,-0.00225702815757967,-0.00204711299195791,-0.00859167266752914,0.0148152361639076,0.126205950259101,0.0442224316067982
13,13,0.0727328005488268,0.066529001890637,0.951629153666513,-0.00135388662353138,-0.00024815609273134,-0.00861961195774798,-0.0222669668733234,0.146204602300039,-0.0172575129076278
14,14,0.0727775895475968,0.066462589535833,0.951621603822661,-0.000659142815496267,0.00152309618027125,-0.00858746976221656,0.0424911771325294,0.184485825192624,0.0357804297302988
15,15,0.0728384280703159,0.0664040000745462,0.951613644554964,-0.000242999429140637,0.00280548901944793,-0.00842862933036173,0.0982506878788897,0.252945908808134,0.050545672928281
16,16,0.0729216673250176,0.0663519569017272,0.951604358342293,0.000487237548232375,0.00375347623896873,-0.00804213290059419,0.0635398882161702,0.253600456084708,0.0875377666334886
