,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.0424410706830058,0.0769154079651401,0.896052427808078,0.00257377435125107,0.000302432393386181,-0.0200117465984952,0.0321454538293825,-0.00420025038479106,0.0283250006405332
1,1,0.0425419773927287,0.0769147873874604,0.895922279620338,0.00334020422121329,-0.000416123657244876,-0.0199032109922641,0.0243332491243339,-0.00375201389974166,0.0217314289007343
2,2,0.0426413099768799,0.0769153587388263,0.895787336595463,0.00391914020157552,-0.000725633273702911,-0.0197876668773401,0.0199255686839376,-0.0230204893940557,0.0271363873018952
3,3,0.0427414330560897,0.07691533416866,0.895654804624372,0.00450543588137799,-0.00125986281155847,-0.0196652112069207,0.0206670644141252,-0.0399870157488921,0.0363247131680326
4,4,0.0428447107005339,0.076912925915015,0.895531888282901,0.00506023983045513,-0.00158275829590646,-0.019550501556321,0.0270996560652557,-0.0273328604058774,0.0167444040927649
5,5,0.0429535065166409,0.0769063462894552,0.895425790944386,0.00558450315226118,-0.00182367477500871,-0.0194168047876396,-0.00353130774007382,-0.0552614824839605,0.00228351527114459
6,6,0.0430695924195317,0.0768942030826829,0.895339364523467,0.00635136971036939,-0.00197140018454547,-0.0192960401029834,0.0182518428560725,-0.0462064709650984,-0.0102602111867877
7,7,0.0431913917911736,0.0768776880898612,0.895267804388068,0.00699029669002467,-0.00197422224145116,-0.0191793777246834,0.0167381407815768,-0.0445613166378816,0.00755719686110476
8,8,0.0433162454457925,0.0768588898255096,0.895206828589315,0.00779307712173125,-0.00217164559408177,-0.0190710889255236,0.0287419419926381,-0.00537811226145307,0.0223224199445876
9,9,0.0434414944123425,0.0768398970262427,0.895152155483896,0.00837885157591542,-0.00208484431120426,-0.0189400243981841,0.0137849516558687,-0.0366484970932281,0.00108722009302082
10,10,0.0435644798353858,0.0768227986554782,0.895099503685437,0.00873529658852454,-0.00211578014487863,-0.0188215690477075,0.0323472754180109,-0.0109566876575077,0.0331257715340764
